Id,Label,indegree,outdegree,Degree,eigencentrality,clustering,modularity_class,stat_inf_class,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum
99,99,3,11,14,0.031099,0.089744,114,33,0.5676,-5.9122,-5.3446,3,0.615385,0.701389,48,0,15109
15511,15511,2,2,4,0.015174,0.5,115,33,0.8703,0.642,1.5123,4,0.390625,0.423333,0,0,15110
100,100,2,2,4,0.029662,0.5,116,33,0,0.99,0.99,1,1,1,0,0,15108
101,101,3,1,4,0.050535,0.5,117,33,-0,1,1,0,0,0,0,0,15107
102,102,2,1,3,0.029662,0.5,118,33,0,1,1,0,0,0,0,0,15106
103,103,2,1,3,0.029662,0.5,119,33,0,1,1,0,0,0,0,0,15105
104,104,2,1,3,0.029662,0.5,120,33,0.75,1,1.75,0,0,0,0,0,15104
105,105,3,9,12,0.055847,0.109091,121,33,0.4945,-6.4929,-5.9984,1,1,1,80,0,15103
14971,14971,2,31,33,0.050003,0.041935,122,33,0.9295,-20.9991,-20.0696,4,0.464407,0.554136,943,0,15354
106,106,2,3,5,0.036863,0.416667,123,33,0,0.993,0.993,1,1,1,0,0,15102
107,107,3,1,4,0.059304,0.5,124,33,0.0001,1,1.0001,0,0,0,0,0,15101
108,108,3,1,4,0.059304,0.5,125,33,0,1,1,0,0,0,0,0,15100
109,109,2,1,3,0.036863,0.5,126,33,0,1,1,0,0,0,0,0,15099
110,110,2,1,3,0.036863,0.5,127,33,0,1,1,0,0,0,0,0,15098
111,111,2,1,3,0.036863,0.5,128,33,0.5,1,1.5,0,0,0,0,0,15097
112,112,2,1,3,0.036863,0.5,129,33,0,1,1,0,0,0,0,0,15096
113,113,2,1,3,0.036863,0.5,130,33,0,1,1,0,0,0,0,0,15095
114,114,2,1,3,0.029662,0.5,131,33,0,1,1,0,0,0,0,0,15094
115,115,2,6,8,0.029662,0.142857,132,33,0,-2.323,-2.323,2,0.857143,0.916667,18,0,15093
116,116,2,2,4,0.026264,0.333333,133,33,0.2,0,0.2,1,1,1,4,0,15092
117,117,2,1,3,0.024701,0.5,134,33,0,1,1,0,0,0,0,0,15091
118,118,2,1,3,0.026264,0.5,135,33,0.6,1,1.6,0,0,0,0,0,15090
119,119,2,1,3,0.026264,0.5,136,33,0,1,1,0,0,0,0,0,15089
120,120,2,1,3,0.026264,0.5,137,33,0.625,1,1.625,0,0,0,0,0,15088
121,121,2,1,3,0.026264,0.5,138,33,0.252,1,1.252,0,0,0,0,0,15087
122,122,2,1,3,0.029662,0.5,139,33,0.5,1,1.5,0,0,0,0,0,15086
123,123,2,1,3,0.029662,0.5,140,33,0.8333,1,1.8333,0,0,0,0,0,15085
124,124,3,8,11,0.031099,0.144444,141,35,0.5023,-0.9785,-0.4762,2,0.769231,0.85,13.5,0,15458
14866,14866,2,2,4,0.015174,0.5,142,35,0.3571,0.778,1.1351,3,0.458333,0.5,0,0,15459
125,125,4,3,7,0.05537,0.266667,143,35,0.3364,-0.25,0.0864,1,1,1,7,0,15452
14869,14869,2,12,14,0.015174,0.102564,144,35,0,-3.60667,-3.60667,16,0.09118,0.097115,6.5,0,15453
126,126,2,1,3,0.040752,0.5,145,35,0,1,1,0,0,0,0,0,15451
127,127,3,1,4,0.050535,0.5,146,35,0.5,1,1.5,0,0,0,0,0,15450
128,128,3,2,5,0.045587,0.25,147,35,0.8928,0.75,1.6428,1,1,1,4,0,15213
15297,15297,2,2,4,0.015174,0.333333,148,35,0.8583,0.994,1.8523,2,0.666667,0.75,1,0,15214
129,129,2,1,3,0.03461,0.5,149,35,0.75,1,1.75,0,0,0,0,0,15212
130,130,3,1,4,0.039445,0.5,150,35,0.04,1,1.04,0,0,0,0,0,15457
131,131,2,1,3,0.029662,0.5,151,35,0.95,1,1.95,0,0,0,0,0,15456
132,132,3,1,4,0.045587,0.333333,152,35,0,1,1,0,0,0,0,0,15449
133,133,5,1,6,0.071295,0.35,153,35,0,1,1,0,0,0,0,0,15441
14879,14879,2,2,4,0.015174,0.5,154,35,0.4,0.7008,1.1008,1,1,1,0,0,15442
134,134,2,1,3,0.029662,0.5,155,35,0.4,1,1.4,0,0,0,0,0,15455
135,135,3,1,4,0.084727,0.333333,156,35,0.7885,1,1.7885,0,0,0,0,0,14077
136,136,2,2,4,0.015174,0.333333,157,35,0,0.76,0.76,1,1,1,1,0,15464
137,137,2,1,3,0.021316,0.5,158,35,0.76,1,1.76,0,0,0,0,0,15463
138,138,4,1,5,0.17751,0.25,159,35,0.624,1,1.624,0,0,0,0,0,14072
139,139,4,1,5,0.17751,0.25,160,35,0.7,1,1.7,0,0,0,0,0,14071
667,667,5,17,22,0.616876,0.078947,161,35,0.68,-9.2,-8.52,13,0.123477,0.13514,16429.166667,0,15053
689,689,9,12,21,0.636942,0.091503,162,32,-0,0.0416,0.0416,11,0.161874,0.187004,598592.362698,0,15053
1730,1730,7,162,169,0.600051,0.008937,163,19,0.3575,-98.60185,-98.24435,9,0.258967,0.301291,680454.139683,0,15053
1779,1779,8,102,110,0.642144,0.015633,164,19,0.321,-49.6252,-49.3042,10,0.213445,0.241598,82781.511905,0,15053
2801,2801,2,5,7,0.058848,0.2,165,35,0.9755,-0.9211,0.0544,13,0.124044,0.136354,10626.766667,0,15053
5469,5469,4,30,34,0.115653,0.04072,166,31,0.43,-20.02705,-19.59705,12,0.140817,0.158574,78123.8,0,15053
141,141,2,23,25,0.222937,0.043478,167,2,0.513,-17.6243,-17.1113,6,0.383758,0.433057,44659.633333,0,1776
142,142,2,4,6,0.068113,0.2,168,2,0,-1,-1,1,1,1,297,0,1775
143,143,2,1,3,0.032229,0.5,169,2,0.5,1,1.5,0,0,0,0,0,1774
144,144,2,1,3,0.032229,0.5,170,2,0,1,1,0,0,0,0,0,1773
145,145,2,1,3,0.032229,0.5,171,2,0.5,1,1.5,0,0,0,0,0,1772
146,146,2,2,4,0.068113,0.333333,172,2,0,0,0,2,0.6,0.666667,198,0,1771
147,147,2,3,5,0.032229,0.25,173,2,0,-0.99,-0.99,1,1,1,101,0,1770
148,148,3,1,4,0.052239,0.333333,174,2,-0,1,1,0,0,0,0,0,1646
272,272,2,19,21,0.068113,0.055263,175,2,0,-14.59,-14.59,2,0.95,0.973684,1881,0,1647
149,149,2,1,3,0.025401,0.5,176,2,0,1,1,0,0,0,0,0,1769
150,150,2,17,19,0.068113,0.058824,177,2,0.3,-12.5,-12.2,2,0.807692,0.880952,2079,0,1768
151,151,2,1,3,0.032229,0.5,178,2,0.49,1,1.49,0,0,0,0,0,1767
152,152,2,3,5,0.032229,0.25,179,2,0.4,-0.25,0.15,1,1,1,200,0,1766
153,153,2,1,3,0.025401,0.5,180,2,0.75,1,1.75,0,0,0,0,0,1765
154,154,2,1,3,0.025401,0.5,181,2,0,1,1,0,0,0,0,0,1764
155,155,2,2,4,0.032229,0.333333,182,2,0,0.5,0.5,1,1,1,100,0,1763
156,156,2,1,3,0.025401,0.5,183,2,0.5,1,1.5,0,0,0,0,0,1762
157,157,2,1,3,0.032229,0.5,184,2,0.45,1,1.45,0,0,0,0,0,1761
158,158,2,1,3,0.032229,0.5,185,2,0.45,1,1.45,0,0,0,0,0,1760
159,159,2,1,3,0.032229,0.5,186,2,0,1,1,0,0,0,0,0,1759
160,160,2,3,5,0.032229,0.333333,187,2,0,0.48,0.48,1,1,1,100,0,1758
161,161,2,1,3,0.025401,0.5,188,2,0.5,1,1.5,0,0,0,0,0,1757
162,162,3,1,4,0.052239,0.5,189,2,-0,1,1,0,0,0,0,0,1756
163,163,2,1,3,0.032229,0.5,190,2,0.2,1,1.2,0,0,0,0,0,1755
164,164,2,2,4,0.032229,0.333333,191,2,0,0.6,0.6,1,1,1,100,0,1754
165,165,2,1,3,0.025401,0.5,192,2,0.6,1,1.6,0,0,0,0,0,1753
166,166,2,1,3,0.032229,0.5,193,2,0,1,1,0,0,0,0,0,1752
167,167,2,1,3,0.032229,0.5,194,2,0,1,1,0,0,0,0,0,1751
168,168,2,1,3,0.032229,0.5,195,2,0,1,1,0,0,0,0,0,1750
169,169,2,1,3,0.032229,0.5,196,2,0,1,1,0,0,0,0,0,1749
170,170,2,1,3,0.032229,0.5,197,2,0,1,1,0,0,0,0,0,1748
171,171,2,1,3,0.032229,0.5,198,2,0.49,1,1.49,0,0,0,0,0,1747
172,172,2,27,29,0.068113,0.039683,199,2,0.03,-20.704,-20.674,3,0.62963,0.738562,4554,0,1746
173,173,2,1,3,0.032229,0.5,200,2,0.005,1,1.005,0,0,0,0,0,1745
174,174,2,3,5,0.032229,0.25,201,2,0,-1,-1,1,1,1,200,0,1744
175,175,2,1,3,0.025401,0.5,202,2,0,1,1,0,0,0,0,0,1743
176,176,2,1,3,0.025401,0.5,203,2,0,1,1,0,0,0,0,0,1742
177,177,2,1,3,0.032229,0.5,204,2,0,1,1,0,0,0,0,0,1741
178,178,2,4,6,0.032229,0.25,205,2,0,-1.005,-1.005,1,1,1,200,0,1740
179,179,2,1,3,0.025401,0.5,206,2,0,1,1,0,0,0,0,0,1739
180,180,2,1,3,0.025401,0.5,207,2,0,1,1,0,0,0,0,0,1738
181,181,3,1,4,0.052239,0.5,208,2,-0,1,1,0,0,0,0,0,1737
182,182,2,1,3,0.032229,0.5,209,2,0.2,1,1.2,0,0,0,0,0,1736
183,183,2,1,3,0.032229,0.5,210,2,0.1,1,1.1,0,0,0,0,0,1735
184,184,2,1,3,0.032229,0.5,211,2,0.377,1,1.377,0,0,0,0,0,1734
185,185,2,1,3,0.032229,0.5,212,2,0,1,1,0,0,0,0,0,1733
186,186,2,1,3,0.032229,0.5,213,2,0.2,1,1.2,0,0,0,0,0,1732
187,187,2,1,3,0.032229,0.5,214,2,0,1,1,0,0,0,0,0,1731
188,188,2,4,6,0.032229,0.25,215,2,0.249,-1.1258,-0.8768,1,1,1,200,0,1730
189,189,3,1,4,0.052239,0.5,216,2,0.0192,1,1.0192,0,0,0,0,0,1727
190,190,2,1,3,0.025401,0.5,217,2,0,1,1,0,0,0,0,0,1729
191,191,2,1,3,0.025401,0.5,218,2,0,1,1,0,0,0,0,0,1728
192,192,2,2,4,0.032229,0.333333,219,2,0.04,0.895,0.935,1,1,1,100,0,1726
193,193,2,1,3,0.025401,0.5,220,2,0.895,1,1.895,0,0,0,0,0,1725
194,194,2,2,4,0.032229,0.333333,221,2,0,0.49,0.49,1,1,1,100,0,1724
195,195,2,1,3,0.025401,0.5,222,2,0.49,1,1.49,0,0,0,0,0,1723
196,196,2,1,3,0.032229,0.5,223,2,0,1,1,0,0,0,0,0,1722
197,197,2,1,3,0.032229,0.5,224,2,0.47,1,1.47,0,0,0,0,0,1721
198,198,2,1,3,0.032229,0.5,225,2,0.61,1,1.61,0,0,0,0,0,1720
199,199,2,7,9,0.032229,0.125,226,2,0,-5,-5,2,0.714286,0.8,1000,0,1719
200,200,2,3,5,0.025401,0.25,227,2,0,-1,-1,1,1,1,202,0,1718
201,201,2,1,3,0.024333,0.5,228,2,0,1,1,0,0,0,0,0,1717
202,202,2,1,3,0.024333,0.5,229,2,0,1,1,0,0,0,0,0,1716
203,203,2,1,3,0.025401,0.5,230,2,0,1,1,0,0,0,0,0,1715
204,204,2,3,5,0.025401,0.25,231,2,0,-1,-1,1,1,1,202,0,1714
205,205,2,1,3,0.024333,0.5,232,2,0,1,1,0,0,0,0,0,1713
206,206,2,1,3,0.024333,0.5,233,2,0,1,1,0,0,0,0,0,1712
207,207,2,1,3,0.025401,0.5,234,2,0,1,1,0,0,0,0,0,1711
208,208,2,1,3,0.025401,0.5,235,2,0,1,1,0,0,0,0,0,1710
209,209,2,1,3,0.025401,0.5,236,2,0,1,1,0,0,0,0,0,1709
210,210,2,1,3,0.032229,0.5,237,2,0,1,1,0,0,0,0,0,1708
211,211,2,1,3,0.032229,0.5,238,2,0.125,1,1.125,0,0,0,0,0,1707
212,212,3,1,4,0.052239,0.333333,239,2,0.4,1,1.4,0,0,0,0,0,1465
452,452,2,4,6,0.032229,0.2,240,2,0,-0.47,-0.47,1,1,1,201,0,1466
213,213,3,4,7,0.094951,0.2,241,2,0,-2,-2,2,0.8,0.875,400,0,1700
214,214,2,2,4,0.042456,0.333333,242,2,0,0.5,0.5,1,1,1,101,0,1699
215,215,2,1,3,0.028418,0.5,243,2,0.5,1,1.5,0,0,0,0,0,1698
216,216,2,1,3,0.042456,0.5,244,2,0,1,1,0,0,0,0,0,1697
217,217,2,1,3,0.042456,0.5,245,2,0,1,1,0,0,0,0,0,1696
218,218,2,2,4,0.032229,0.333333,246,2,0,0.85,0.85,1,1,1,100,0,1706
219,219,2,1,3,0.025401,0.5,247,2,0.85,1,1.85,0,0,0,0,0,1705
220,220,2,3,5,0.032229,0.25,248,2,0,-1,-1,1,1,1,200,0,1704
221,221,2,1,3,0.025401,0.5,249,2,0,1,1,0,0,0,0,0,1703
222,222,2,1,3,0.025401,0.5,250,2,0,1,1,0,0,0,0,0,1702
223,223,2,1,3,0.032229,0.5,251,2,0.4,1,1.4,0,0,0,0,0,1701
224,224,5,10,15,0.339648,0.071429,252,24,-0,-5.373,-5.373,2,0.8,0.875,1193.566667,0,1695
1771,1771,3,10,13,0.232957,0.121212,253,24,0.108,-4.4266,-4.3186,3,0.517241,0.551111,3525.416667,0,8863
225,225,2,3,5,0.104044,0.25,254,24,0.48,-0.57,-0.09,1,1,1,202,0,1694
226,226,2,1,3,0.041768,0.5,255,24,0,1,1,0,0,0,0,0,1693
227,227,2,1,3,0.041768,0.5,256,24,0.43,1,1.43,0,0,0,0,0,1692
228,228,2,2,4,0.104044,0.333333,257,24,0.48,0.2,0.68,1,1,1,101,0,1691
229,229,2,1,3,0.041768,0.5,258,24,0.2,1,1.2,0,0,0,0,0,1690
230,230,3,1,4,0.131807,0.333333,259,24,0,1,1,0,0,0,0,0,1689
8852,8852,2,67,69,0.066646,0.014706,260,24,0,-33.3058,-33.3058,12,0.159117,0.171205,44807.766667,0,15053
231,231,2,1,3,0.104044,0.5,261,24,0.04,1,1.04,0,0,0,0,0,1688
232,232,2,1,3,0.104044,0.5,262,24,0.15,1,1.15,0,0,0,0,0,1687
233,233,2,1,3,0.104044,0.5,263,24,0.48,1,1.48,0,0,0,0,0,1686
234,234,2,1,3,0.104044,0.5,264,24,0,1,1,0,0,0,0,0,1685
235,235,2,1,3,0.104044,0.5,265,24,0,1,1,0,0,0,0,0,1684
236,236,2,1,3,0.104044,0.5,266,24,0.497,1,1.497,0,0,0,0,0,1683
237,237,3,20,23,0.086903,0.045455,267,2,0.3282,-15.7,-15.3718,3,0.666667,0.769608,3468,0,1682
4301,4301,2,11,13,0.024215,0.113636,268,15,0.0006,-4.3791,-4.3785,4,0.443114,0.504505,1459.5,0,14892
238,238,2,1,3,0.041232,0.5,269,2,0,1,1,0,0,0,0,0,1681
239,239,2,1,3,0.041232,0.5,270,2,0,1,1,0,0,0,0,0,1680
240,240,2,1,3,0.041232,0.5,271,2,0,1,1,0,0,0,0,0,1679
241,241,2,3,5,0.041232,0.25,272,2,0,-1,-1,1,1,1,206,0,1678
242,242,2,1,3,0.028262,0.5,273,2,0,1,1,0,0,0,0,0,1677
243,243,2,1,3,0.028262,0.5,274,2,0,1,1,0,0,0,0,0,1676
244,244,2,5,7,0.041232,0.166667,275,2,0,-2.81,-2.81,2,0.833333,0.9,515,0,1675
245,245,2,1,3,0.028262,0.5,276,2,0,1,1,0,0,0,0,0,1674
246,246,2,1,3,0.028262,0.5,277,2,0,1,1,0,0,0,0,0,1673
247,247,2,1,3,0.028262,0.5,278,2,0,1,1,0,0,0,0,0,1672
248,248,2,2,4,0.028262,0.333333,279,2,0.19,0,0.19,1,1,1,104,0,1671
249,249,2,1,3,0.02499,0.5,280,2,0,1,1,0,0,0,0,0,1670
250,250,2,1,3,0.041232,0.5,281,2,0,1,1,0,0,0,0,0,1669
251,251,2,1,3,0.041232,0.5,282,2,0,1,1,0,0,0,0,0,1668
252,252,2,2,4,0.041232,0.333333,283,2,0,0.49,0.49,1,1,1,103,0,1667
253,253,2,1,3,0.028262,0.5,284,2,0.49,1,1.49,0,0,0,0,0,1666
254,254,2,2,4,0.041232,0.333333,285,2,0,0,0,1,1,1,103,0,1665
255,255,2,1,3,0.028262,0.5,286,2,0,1,1,0,0,0,0,0,1664
256,256,2,1,3,0.041232,0.5,287,2,0.71,1,1.71,0,0,0,0,0,1663
257,257,2,2,4,0.041232,0.333333,288,2,0,0,0,1,1,1,103,0,1662
258,258,2,1,3,0.028262,0.5,289,2,0,1,1,0,0,0,0,0,1661
259,259,2,1,3,0.041232,0.5,290,2,0,1,1,0,0,0,0,0,1660
260,260,2,1,3,0.041232,0.5,291,2,0,1,1,0,0,0,0,0,1659
261,261,2,1,3,0.041232,0.5,292,2,0,1,1,0,0,0,0,0,1658
262,262,2,3,5,0.041232,0.25,293,2,0.1,-0.78,-0.68,2,0.75,0.833333,309,0,1657
